question_id,session,tier,intent_expected,intent_actual,routing_pattern,agents_dispatched,routed_agent,orchestrator_used,ttfb_ms,first_progress_ms,total_ms,classification_latency_ms,used_llm_layer,execution_time_ms,intent_confidence,response_confidence,response_chars,session_id,request_id,error,answer_correct,suggestion_pills_relevant,notes
1.4,n1,T3,causal_analysis,causal_analysis,SINGLE_AGENT,explainer,explainer,True,41272.6,,41406.6,6.758451461791992,False,40814.63,0.99,0.0,489,46d40f52-39ac-4b79-b3a4-1f1292059a00~277692fd-c0e0-4f7d-853b-66420163433e,perf-active-1.4,,,,
1.5,n1,T3,causal_analysis,causal_analysis,CLARIFICATION_NEEDED,causal_impact|explainer,causal_impact,True,34133.4,,34194.6,1.7461776733398438,False,33725.08,0.99,0.0,586,46d40f52-39ac-4b79-b3a4-1f1292059a00~277692fd-c0e0-4f7d-853b-66420163433e,perf-active-1.5,,,,
1.6,n1,T5,causal_analysis,causal_analysis,PARALLEL_DELEGATION,heterogeneous_optimizer|gap_analyzer,heterogeneous_optimizer,True,30334.5,,30365.7,0.6177425384521484,False,29891.4,0.96,0.0,918,46d40f52-39ac-4b79-b3a4-1f1292059a00~277692fd-c0e0-4f7d-853b-66420163433e,perf-active-1.6,,,,
2.5,n2,T3,recommendation,recommendation,CLARIFICATION_NEEDED,gap_analyzer,gap_analyzer,True,22815.6,,22860.9,2.1185874938964844,False,22382.58,0.94,0.0,486,46d40f52-39ac-4b79-b3a4-1f1292059a00~e5245d4d-62f2-4d30-b5a3-846895dc2db5,perf-active-2.5,,,,
3.4,n3,T3-T4,recommendation,causal_analysis,CLARIFICATION_NEEDED,experiment_designer,experiment_designer,True,100489.9,,100588.3,0.6220340728759766,False,100003.0,0.96,0.0,164,46d40f52-39ac-4b79-b3a4-1f1292059a00~aff62cee-c748-4b32-baa5-860ea34b31fe,perf-active-3.4,,,,
4.3,n4,T4,multi_faceted,recommendation,CLARIFICATION_NEEDED,heterogeneous_optimizer|gap_analyzer,heterogeneous_optimizer,True,36490.3,,36533.2,0.7269382476806641,False,36122.34,0.82,0.0,918,46d40f52-39ac-4b79-b3a4-1f1292059a00~d540cd9a-6390-496e-a72e-5db51de37db5,perf-active-4.3,,,,
5.7,n5,T3,causal_analysis,causal_analysis,PARALLEL_DELEGATION,explainer,explainer,True,44736.8,,44789.5,0.7443428039550781,False,44369.81,0.98,0.0,489,46d40f52-39ac-4b79-b3a4-1f1292059a00~3eef8046-b672-48e1-b50e-ae6fab91d59e,perf-active-5.7,,,,
6.1,n6,T4,multi_faceted,multi_faceted,PARALLEL_DELEGATION,tool_composer,tool_composer,True,69972.5,,70016.8,1.0027885437011719,False,69584.66,0.99,0.0,136,46d40f52-39ac-4b79-b3a4-1f1292059a00~a1d20222-abd0-4744-8146-4c744c781906,perf-active-6.1,,,,
6.2,n6,T4,multi_faceted,multi_faceted,TOOL_COMPOSER,tool_composer,tool_composer,True,37163.0,,37209.8,1.2917518615722656,False,36709.15,0.96,0.0,135,46d40f52-39ac-4b79-b3a4-1f1292059a00~a1d20222-abd0-4744-8146-4c744c781906,perf-active-6.2,,,,
6.4,n6,T4,multi_faceted,multi_faceted,CLARIFICATION_NEEDED,explainer,explainer,True,35805.4,,35874.2,1.3110637664794922,False,35360.06,0.98,0.0,489,46d40f52-39ac-4b79-b3a4-1f1292059a00~a1d20222-abd0-4744-8146-4c744c781906,perf-active-6.4,,,,
