question_id,session,tier,intent_expected,intent_actual,routing_pattern,confidence_pipeline,agents_dispatched_ui,tools_invoked_ui,orchestrator_used_ui,ttfb_ms,first_progress_ms,total_ms,classification_latency_ms,used_llm_layer,agents_dispatched_chatstream,active_dispatch,response_chars,error,answer_correct,suggestion_pills_relevant,notes
1.1,n1,T2,kpi_query,kpi_query,CLARIFICATION_NEEDED,0.99,kpi_calculate_tool,kpi_calculate_tool,False,7406.2,7397.7,7407.9,0.6577968597412109,False,explainer,,359,,yes,"yes (UI pass, all observed turns)",
1.2,n1,T2,kpi_query,kpi_query,CLARIFICATION_NEEDED,0.99,kpi_calculate_tool,kpi_calculate_tool,False,7093.1,7085.6,7095.5,0.728607177734375,False,explainer,,613,,yes,,
1.3,n1,T2,kpi_query,kpi_query,CLARIFICATION_NEEDED,0.98,kpi_calculate_tool,kpi_calculate_tool,False,8134.0,8131.6,8136.4,0.6010532379150391,False,explainer,,870,,yes,,
1.4,n1,T3,causal_analysis,causal_analysis,SINGLE_AGENT,0.99,kpi_calculate_tool,kpi_calculate_tool,False,19041.2,7782.7,19047.8,0.5993843078613281,False,causal_impact|explainer,explainer,2410,,yes,"yes (UI pass, all observed turns)",
1.5,n1,T3,causal_analysis,causal_analysis,CLARIFICATION_NEEDED,0.99,causal_analysis_tool,causal_analysis_tool,False,7857.0,7845.9,7860.2,0.6999969482421875,False,causal_impact|explainer,causal_impact|explainer,1022,,yes,,
1.6,n1,T5,causal_analysis,causal_analysis,PARALLEL_DELEGATION,0.84,e2i_data_query_tool,e2i_data_query_tool,False,12653.4,12539.7,12657.2,0.7681846618652344,False,heterogeneous_optimizer|gap_analyzer,heterogeneous_optimizer|gap_analyzer,1542,,yes,,
1.7,n1,T5,recommendation,recommendation,PARALLEL_DELEGATION,0.97,e2i_data_query_tool,e2i_data_query_tool,False,14683.5,4661.7,14686.5,0.8034706115722656,False,resource_optimizer,,2137,,yes,,
2.1,n2,T3,search,search,SINGLE_AGENT,0.88,clinical_context_tool,clinical_context_tool,False,20121.6,20121.4,20133.3,0.7312297821044922,False,cohort_profiler,,2701,,yes,,
2.2,n2,T2,kpi_query,kpi_query,CLARIFICATION_NEEDED,0.98,kpi_calculate_tool,kpi_calculate_tool,False,14124.9,14119.8,14127.5,0.5862712860107422,False,heterogeneous_optimizer|gap_analyzer,,1210,,yes,,
2.3,n2,T2,kpi_query,kpi_query,CLARIFICATION_NEEDED,0.98,kpi_calculate_tool,kpi_calculate_tool,False,8904.8,8900.1,8907.1,0.9429454803466797,False,explainer,,987,,yes,,
2.4,n2,T3,causal_analysis,causal_analysis,CLARIFICATION_NEEDED,0.98,causal_analysis_tool,causal_analysis_tool,False,15801.6,4910.1,15868.2,0.7429122924804688,False,causal_impact|explainer,,2330,,yes,,
2.5,n2,T3,recommendation,recommendation,CLARIFICATION_NEEDED,0.93,kpi_calculate_tool,kpi_calculate_tool,False,19398.4,5426.4,19404.5,0.6048679351806641,False,gap_analyzer,gap_analyzer,3055,,yes,,
2.6,n2,T3,recommendation,recommendation,SINGLE_AGENT,0.97,orchestrator_tool,orchestrator_tool,True,15674.0,6741.4,15678.8,0.7274150848388672,False,resource_optimizer,,2212,,yes,,
2.7,n2,T2,kpi_query,kpi_query,CLARIFICATION_NEEDED,0.97,kpi_calculate_tool,kpi_calculate_tool,False,8950.2,3922.3,8953.2,0.6506443023681641,False,explainer,,809,,yes,,
3.1,n3,T2,kpi_query,kpi_query,CLARIFICATION_NEEDED,0.96,clinical_context_tool,clinical_context_tool,False,11562.0,11557.4,11565.2,0.4143714904785156,False,cohort_profiler,,928,,yes,,
3.2,n3,T2,kpi_query,kpi_query,CLARIFICATION_NEEDED,0.99,kpi_calculate_tool,kpi_calculate_tool,False,5031.9,5029.6,5033.5,0.6422996520996094,False,explainer,,399,,yes,,
3.3,n3,T3,prediction,recommendation,CLARIFICATION_NEEDED,0.88,e2i_data_query_tool,e2i_data_query_tool,False,17259.1,15458.3,17267.8,0.6825923919677734,False,heterogeneous_optimizer|gap_analyzer|prediction_synthesizer,,2610,,yes,,
3.4,n3,T3-T4,recommendation,recommendation,CLARIFICATION_NEEDED,0.91,orchestrator_tool,orchestrator_tool,True,75147.8,71932.7,75152.5,0.9531974792480469,False,experiment_designer,experiment_designer,2326,,yes,,
3.5,n3,T5,recommendation,search,CLARIFICATION_NEEDED,0.88,e2i_data_query_tool,e2i_data_query_tool,False,6639.0,6638.4,12683.6,0.6723403930664062,False,experiment_designer|prediction_synthesizer,,1962,,yes,,
3.6,n3,T3,recommendation,recommendation,SINGLE_AGENT,0.93,causal_analysis_tool,causal_analysis_tool,False,81301.1,4969.2,81356.0,0.7777214050292969,False,experiment_designer|gap_analyzer,,2927,,yes,,
4.1,n4,T3,search,search,PARALLEL_DELEGATION,0.93,e2i_data_query_tool,e2i_data_query_tool,False,21880.0,18319.0,21894.9,0.7016658782958984,False,cohort_profiler,,1822,,yes,,
4.2,n4,T3,search,recommendation,PARALLEL_DELEGATION,0.88,,,False,10870.8,10870.6,10873.6,0.8289813995361328,False,cohort_profiler,,1709,,yes,,
