question_id,session,tier,intent_expected,intent_actual,routing_pattern,agents_dispatched,routed_agent,orchestrator_used,ttfb_ms,first_progress_ms,total_ms,classification_latency_ms,used_llm_layer,execution_time_ms,intent_confidence,response_confidence,response_chars,session_id,request_id,error,answer_correct,suggestion_pills_relevant,notes
1.1,n1,T2,kpi_query,,,kpi_calculate_tool,,False,5964.3,499.1,9696.8,,,,,,676,4de81534-a204-472d-833b-f98771ceecfb,perf-agui-1.1,,,,
1.2,n1,T2,kpi_query,,,kpi_calculate_tool,,False,7626.5,612.4,14640.5,,,,,,1340,4de81534-a204-472d-833b-f98771ceecfb,perf-agui-1.2,,,,
1.3,n1,T2,kpi_query,,,kpi_calculate_tool,,False,5904.1,509.1,11559.2,,,,,,1160,4de81534-a204-472d-833b-f98771ceecfb,perf-agui-1.3,,,,
1.4,n1,T3,causal_analysis,,,kpi_calculate_tool,,False,19173.1,399.3,30401.9,,,,,,2870,4de81534-a204-472d-833b-f98771ceecfb,perf-agui-1.4,,,,
1.5,n1,T3,causal_analysis,,,causal_analysis_tool,,False,6254.7,466.1,12941.8,,,,,,1355,4de81534-a204-472d-833b-f98771ceecfb,perf-agui-1.5,,,,
1.6,n1,T5,causal_analysis,,,predict_hcp_segment_likelihood_tool,,False,10742.9,495.6,18114.7,,,,,,1449,4de81534-a204-472d-833b-f98771ceecfb,perf-agui-1.6,,,,
1.7,n1,T5,recommendation,,,e2i_data_query_tool,,False,16827.7,788.5,26434.2,,,,,,2547,4de81534-a204-472d-833b-f98771ceecfb,perf-agui-1.7,,,,
2.1,n2,T3,search,,,orchestrator_tool,,True,5060.4,440.9,32655.9,,,,,,1916,79ff4e34-96bc-41dc-b390-4519a468ec78,perf-agui-2.1,,,,
2.2,n2,T2,kpi_query,,,kpi_calculate_tool,,False,8308.9,517.3,13140.3,,,,,,1001,79ff4e34-96bc-41dc-b390-4519a468ec78,perf-agui-2.2,,,,
2.3,n2,T2,kpi_query,,,kpi_calculate_tool,,False,6455.6,580.3,11164.8,,,,,,941,79ff4e34-96bc-41dc-b390-4519a468ec78,perf-agui-2.3,,,,
2.4,n2,T3,causal_analysis,,,kpi_calculate_tool,,False,21163.8,436.5,33704.1,,,,,,3219,79ff4e34-96bc-41dc-b390-4519a468ec78,perf-agui-2.4,,,,
2.5,n2,T3,recommendation,,,predict_hcp_segment_likelihood_tool,,False,9538.8,535.7,20927.4,,,,,,2370,79ff4e34-96bc-41dc-b390-4519a468ec78,perf-agui-2.5,,,,
