question_id,session,tier,intent_expected,intent_actual,routing_pattern,agents_dispatched,routed_agent,orchestrator_used,ttfb_ms,first_progress_ms,total_ms,classification_latency_ms,used_llm_layer,execution_time_ms,intent_confidence,response_confidence,response_chars,session_id,request_id,error,answer_correct,suggestion_pills_relevant,notes
1.1,n1,T2,kpi_query,,,kpi_calculate_tool,,False,7406.2,7397.7,7407.9,,,,,,359,ad85ccf1-53dc-4ca4-897a-c3f4b904bbf9,perf-agui-1.1,,,,
1.2,n1,T2,kpi_query,,,kpi_calculate_tool,,False,7093.1,7085.6,7095.5,,,,,,613,ad85ccf1-53dc-4ca4-897a-c3f4b904bbf9,perf-agui-1.2,,,,
1.3,n1,T2,kpi_query,,,kpi_calculate_tool,,False,8134.0,8131.6,8136.4,,,,,,870,ad85ccf1-53dc-4ca4-897a-c3f4b904bbf9,perf-agui-1.3,,,,
1.4,n1,T3,causal_analysis,,,kpi_calculate_tool,,False,19041.2,7782.7,19047.8,,,,,,2410,ad85ccf1-53dc-4ca4-897a-c3f4b904bbf9,perf-agui-1.4,,,,
1.5,n1,T3,causal_analysis,,,causal_analysis_tool,,False,7857.0,7845.9,7860.2,,,,,,1022,ad85ccf1-53dc-4ca4-897a-c3f4b904bbf9,perf-agui-1.5,,,,
1.6,n1,T5,causal_analysis,,,e2i_data_query_tool,,False,12653.4,12539.7,12657.2,,,,,,1542,ad85ccf1-53dc-4ca4-897a-c3f4b904bbf9,perf-agui-1.6,,,,
1.7,n1,T5,recommendation,,,e2i_data_query_tool,,False,14683.5,4661.7,14686.5,,,,,,2137,ad85ccf1-53dc-4ca4-897a-c3f4b904bbf9,perf-agui-1.7,,,,
2.1,n2,T3,search,,,clinical_context_tool,,False,20121.6,20121.4,20133.3,,,,,,2701,e45c42fb-aa50-42ed-9086-f40bd4acd051,perf-agui-2.1,,,,
2.2,n2,T2,kpi_query,,,kpi_calculate_tool,,False,14124.9,14119.8,14127.5,,,,,,1210,e45c42fb-aa50-42ed-9086-f40bd4acd051,perf-agui-2.2,,,,
2.3,n2,T2,kpi_query,,,kpi_calculate_tool,,False,8904.8,8900.1,8907.1,,,,,,987,e45c42fb-aa50-42ed-9086-f40bd4acd051,perf-agui-2.3,,,,
2.4,n2,T3,causal_analysis,,,causal_analysis_tool,,False,15801.6,4910.1,15868.2,,,,,,2330,e45c42fb-aa50-42ed-9086-f40bd4acd051,perf-agui-2.4,,,,
2.5,n2,T3,recommendation,,,kpi_calculate_tool,,False,19398.4,5426.4,19404.5,,,,,,3055,e45c42fb-aa50-42ed-9086-f40bd4acd051,perf-agui-2.5,,,,
2.6,n2,T3,recommendation,,,orchestrator_tool,,True,15674.0,6741.4,15678.8,,,,,,2212,e45c42fb-aa50-42ed-9086-f40bd4acd051,perf-agui-2.6,,,,
2.7,n2,T2,kpi_query,,,kpi_calculate_tool,,False,8950.2,3922.3,8953.2,,,,,,809,e45c42fb-aa50-42ed-9086-f40bd4acd051,perf-agui-2.7,,,,
3.1,n3,T2,kpi_query,,,clinical_context_tool,,False,11562.0,11557.4,11565.2,,,,,,928,4ecae50f-86e1-4680-acf9-1f0e884ef9f1,perf-agui-3.1,,,,
3.2,n3,T2,kpi_query,,,kpi_calculate_tool,,False,5031.9,5029.6,5033.5,,,,,,399,4ecae50f-86e1-4680-acf9-1f0e884ef9f1,perf-agui-3.2,,,,
3.3,n3,T3,prediction,,,e2i_data_query_tool,,False,17259.1,15458.3,17267.8,,,,,,2610,4ecae50f-86e1-4680-acf9-1f0e884ef9f1,perf-agui-3.3,,,,
3.4,n3,T3-T4,recommendation,,,orchestrator_tool,,True,75147.8,71932.7,75152.5,,,,,,2326,4ecae50f-86e1-4680-acf9-1f0e884ef9f1,perf-agui-3.4,,,,
3.5,n3,T5,recommendation,,,e2i_data_query_tool,,False,6639.0,6638.4,12683.6,,,,,,1962,4ecae50f-86e1-4680-acf9-1f0e884ef9f1,perf-agui-3.5,,,,
3.6,n3,T3,recommendation,,,causal_analysis_tool,,False,81301.1,4969.2,81356.0,,,,,,2927,4ecae50f-86e1-4680-acf9-1f0e884ef9f1,perf-agui-3.6,,,,
4.1,n4,T3,search,,,e2i_data_query_tool,,False,21880.0,18319.0,21894.9,,,,,,1822,fa9451d4-6082-40c5-9086-efdf51acd0dc,perf-agui-4.1,,,,
4.2,n4,T3,search,,,,,False,10870.8,10870.6,10873.6,,,,,,1709,fa9451d4-6082-40c5-9086-efdf51acd0dc,perf-agui-4.2,,,,
